Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-January-2022,748.00,778.00,738.25,773.10,760.814278485404889614,691670,20448,526232412.00,218941,31.65,39.75,25.10
25-January-2022,713.70,754.95,708.60,751.95,739.551374804637807581,1100520,27103,813891079.00,351047,31.90,46.35,38.25
24-January-2022,715.00,715.80,688.30,704.35,702.975215152922808821,363811,17482,255750116.00,137393,37.76,27.50,-10.65
21-January-2022,725.00,725.00,708.05,712.60,714.192235432958715129,147439,5051,105299789.00,38792,26.31,16.95,-12.40
20-January-2022,729.25,736.75,722.10,728.75,727.653667553978112984,270480,7651,196815764.00,72367,26.76,14.65,-0.50
19-January-2022,725.60,731.75,718.60,729.60,726.866505145337648981,316986,10117,230406506.00,112404,35.46,13.15,4.00
18-January-2022,717.00,735.85,714.50,725.60,726.440052301010997221,471119,10040,342239711.00,211309,44.85,21.35,8.60
17-January-2022,720.50,720.60,709.40,712.55,713.051477425141324292,486116,5418,346625732.00,376596,77.47,11.20,-7.95
14-January-2022,735.70,735.70,716.10,721.60,721.735721447734672308,258307,7374,186429389.00,86250,33.39,19.60,-14.10
13-January-2022,748.50,748.50,737.15,740.40,740.993115096227287885,92957,3087,68880497.00,33191,35.71,11.35,-8.10
12-January-2022,746.00,751.10,743.05,746.65,747.768508611868699640,257029,9475,192198192.00,182191,70.88,8.05,0.65
11-January-2022,742.80,747.00,737.15,743.45,743.267696949272222489,373878,12343,277891440.00,169056,45.22,9.85,0.65
10-January-2022,734.00,744.05,733.65,742.80,740.283587229985425618,238089,9017,176253379.00,128774,54.09,10.40,8.80
7-January-2022,733.00,740.95,725.15,730.55,734.449551848363484934,357803,13351,262788253.00,151227,42.27,15.80,-2.45
6-January-2022,721.90,733.15,719.25,730.30,725.740714921340662235,311279,7109,225907844.00,106264,34.14,13.90,8.40
5-January-2022,712.00,730.80,709.45,726.80,722.836353565440038622,463982,9449,335383057.00,109765,23.66,21.35,14.80
4-January-2022,700.00,711.00,700.00,708.65,705.829915155532844430,217221,9710,153321080.00,79177,36.45,11.00,8.65
3-January-2022,680.00,698.00,679.00,696.30,691.422399938567189394,364626,13153,252110584.00,160726,44.08,19.00,16.30
